stageID,星解放,星1倍率,星2倍率,星3倍率,星4倍率,ゲリラset,報酬リセットType,1度きり表示,表示順,インターバル,挑戦フラグ,マップ名
0,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：伝説の始まり
1,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：情熱の国
2,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：グルコサミン砂漠
3,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：猫ども海を渡る
4,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：見つめてキャッツアイ
5,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：ウエスタン街道
6,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：マグロ海域
7,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：バンブー島
8,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：ぷにぷに鍾乳洞
9,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：ボルケーノ火山
10,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：千里の道
11,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：アオ・ザ・カナ
12,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：軍艦島
13,4,100,150,200,300,0,0,0,0,0,0,レジェンドステージ：つめとぎの廊下
14,4,100,150,200,200,0,0,0,0,0,0,レジェンドステージ：パルテノン神殿
15,4,100,150,200,200,0,0,0,0,0,0,レジェンドステージ：ずんどこ海水浴場
16,4,100,150,200,200,0,0,0,0,0,0,レジェンドステージ：アルカトラズ島
17,4,100,150,170,150,0,0,0,0,0,0,レジェンドステージ：脱獄トンネル
18,4,100,150,170,140,0,0,0,0,0,0,レジェンドステージ：カポネの監獄
19,4,100,140,160,140,0,0,0,0,0,0,レジェンドステージ：シルクロード
20,4,100,130,150,130,0,0,0,0,0,0,レジェンドステージ：闇へと続く地下道
21,4,100,120,140,130,0,0,0,0,0,0,レジェンドステージ：魔王の豪邸
22,4,100,120,140,120,0,0,0,0,0,0,レジェンドステージ：終わりを告げる夜
23,4,100,120,140,120,0,0,0,0,0,0,レジェンドステージ：バトルロワイアル
24,4,100,120,140,110,0,0,0,0,0,0,レジェンドステージ：戦争のつめあと
25,4,100,120,140,110,0,0,0,0,0,0,レジェンドステージ：海を汚す悪しき者
26,4,100,120,140,100,0,0,0,0,0,0,レジェンドステージ：心と体、繋ぐもの
27,4,100,120,140,100,0,0,0,0,0,0,レジェンドステージ：脆弱性と弱酸性
28,4,100,120,140,100,0,0,0,0,0,0,レジェンドステージ：導かれしネコ達
29,4,100,120,140,100,0,0,0,0,0,0,レジェンドステージ：暗黒コスモポリス
30,4,100,120,140,100,0,0,0,0,0,0,レジェンドステージ：ガラ・パ・ゴス
31,4,100,120,140,100,0,0,0,0,0,0,レジェンドステージ：岩海苔半島
32,4,100,120,140,100,0,0,0,0,0,0,レジェンドステージ：恐ろし連邦
33,4,100,120,140,100,0,0,0,0,0,0,レジェンドステージ：亡者の住まう地
34,4,100,120,140,100,0,0,0,0,0,0,レジェンドステージ：絶島パンデミック
35,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：ふくろのねずみランド
36,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：ハリーウッド帝国
37,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：こしぎんちゃくの浜辺
38,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：雲泥温泉郷
39,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：風待ちアイランド
40,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：ITカタコンベ
41,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：変覧会の絵
42,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：エリア22
43,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：超越サバンナ
44,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：ブリザード自動車道
45,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：シンギュラリティ村
46,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：オワーリ大陸
47,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：伝説のおわり
48,4,100,120,130,100,0,0,0,0,0,0,レジェンドステージ：古代研究所
1000,1,100,150,200,300,32,0,0,1000,0,0,スペシャル月曜ステージ
1001,1,100,150,200,300,32,0,0,1001,0,0,スペシャル火曜ステージ
1002,1,100,150,200,300,32,0,0,1002,0,0,スペシャル水曜ステージ
1003,1,100,150,200,300,32,0,0,1003,0,0,スペシャル木曜ステージ
1004,1,100,150,200,300,32,0,0,1004,0,0,スペシャル金曜ステージ
1005,1,100,150,200,300,2,0,0,0,0,0,スペシャル土日ステージ(旧)
1006,1,100,150,200,300,9,0,0,1300,0,0,スペシャルにゃんチケ★チャンス！
1007,1,100,150,200,300,9,0,0,1301,0,0,スペシャル逆襲のカバちゃん
1008,3,100,150,200,300,0,0,0,0,0,0,スペシャル秋だよ運動会！(旧)
1009,4,100,150,200,300,0,0,0,2502,0,0,スペシャル勤労感謝スペシャル！
1010,4,100,150,200,300,0,0,0,2500,0,0,なんとクリスマスが来た！
1011,4,100,150,200,300,0,0,0,2522,0,0,新年、あけました。おめっ...
1012,4,100,150,200,250,0,0,0,2520,0,0,召喚された福！
1013,4,100,150,200,300,0,0,0,2518,0,0,雛壇の戦士達
1014,1,100,150,200,300,0,0,0,3300,0,1,紅のカタストロフ
1015,1,100,150,200,300,0,0,0,3302,0,1,ダークネスヘブン
1016,1,100,150,200,300,0,0,0,3304,0,1,国士無双
1017,1,100,150,200,300,0,0,0,2904,0,1,狂乱のネコ降臨
1018,1,100,150,200,300,0,0,0,2905,0,1,狂乱のタンク降臨
1019,1,100,150,200,300,0,0,0,2906,0,1,狂乱のバトル降臨
1020,1,100,150,200,300,0,0,0,2907,0,1,狂乱のキモネコ降臨
1021,1,100,150,200,300,0,0,0,2908,0,1,狂乱のウシ降臨
1022,1,100,150,200,300,0,0,0,2909,0,1,狂乱のトリ降臨
1023,1,100,150,200,300,0,0,0,2910,0,1,狂乱のフィッシュ降臨
1024,1,100,150,200,300,0,0,0,2911,0,1,狂乱のトカゲ降臨
1025,1,100,150,200,300,0,0,0,2912,0,1,狂乱の巨神降臨
1026,4,100,150,200,300,0,0,0,2516,0,0,春だよ！高校教師
1027,1,100,150,200,300,2,0,0,1006,0,0,土日ステージ
1028,1,100,150,200,300,3,0,0,1200,0,0,ゲリラ経験値にゃ！
1029,4,100,150,200,300,0,0,0,2514,0,0,コイの五月病
1030,4,100,150,200,300,0,0,0,2512,0,0,禁断の花嫁
1031,4,100,150,200,300,0,0,0,2510,0,0,だって夏じゃニャーイ！
